Stimulus,Response,Outcome,tResponse
0.7552,2,1,675.917840333333
-1,1,1,678.683298666667
1,2,1,681.363100333333
-1,1,1,684.057499666667
0,2,1,686.801132333333
-0.7552,1,1,689.224902666667
0.7552,2,1,692.0503
-1,1,1,696.036766666667
1,2,1,698.926166
-1,1,1,701.520466
0,2,1,704.581060333334
0,1,1,709.807796666667
-1,2,0,712.670034666667
0.4415,2,1,717.162461333333
0,1,1,719.681233333333
0.4415,2,1,722.299212666667
-0.7552,1,1,725.061133
0.4415,2,1,727.967886666667
-0.7552,1,1,732.899131666667
-0.7552,2,0,735.536902666667
0.7552,2,1,740.256967
-0.4415,2,0,742.660233666667
0,1,0,746.688298333333
-0.7552,2,0,751.981031
0,2,0,756.600299
0,1,0,761.952506333333
-0.7552,2,0,767.675212333333
0.4415,1,0,771.6096
-0.4415,1,1,777.177033333333
-0.7552,1,1,779.938800333334
-0.7552,1,1,782.782867666667
1,1,0,785.626179666667
0,1,1,789.616571
-1,1,1,792.725678333333
-1,1,1,795.803588
-0.4415,2,0,798.872730666667
0.4415,2,1,802.839933
0.4415,2,1,808.312531333333
1,1,0,811.050933
0.7552,1,0,815.182365666667
-0.7552,1,1,819.990909
-0.4415,2,0,822.643832666667
-1,2,0,827.422765666667
-0.7552,1,1,833.11861
1,2,1,836.090394333333
-0.4415,1,1,839.074341333333
-0.4415,1,1,842.572743666667
-1,1,1,845.680231666667
0.4415,2,1,848.504119333334
0.7552,1,0,851.215402333333
0.7552,2,1,855.847467
0.7552,1,0,858.949566333333
0,1,0,863.320799333333
0,2,1,867.484365666667
0.4415,1,0,870.028160333333
0,2,1,873.837759666667
0.4415,1,0,876.895532666667
0.7552,2,1,881.191772666667
1,2,1,883.867024333333
1,2,1,886.516174666667
1,2,1,889.304436333333
0,2,1,892.351533666667
0.4415,2,1,895.149633333333
0.4415,2,1,898.054066333333
0,2,1,900.820164333333
-0.7552,2,0,903.876297333333
-0.4415,1,1,910.879466666667
-0.4415,1,1,913.638557333333
-1,1,1,916.469499333333
-0.7552,1,1,919.243780333333
-0.4415,1,1,921.890914
0,1,1,925.028290333333
1,1,0,927.778249333333
-0.4415,2,0,933.435804333334
0.7552,2,1,937.228200333333
1,1,0,939.822166666666
0.7552,2,1,944.694565666667
0,2,1,947.531502
1,2,1,950.228100666667
0.4415,2,1,953.090884333334
-0.4415,2,0,955.863834333333
-0.7552,1,1,959.754036333333
0.4415,1,0,962.304832666667
0,1,1,966.973232333333
-0.7552,1,1,969.697334333333
-0.7552,1,1,972.947465333333
0,1,1,975.978565666667
-0.7552,1,1,978.332833
-0.7552,1,1,980.841783666667
0,1,1,983.594061666667
-0.7552,1,1,986.639466666667
-1,1,1,989.129066333333
-0.4415,1,1,991.72434
-0.7552,1,1,994.301665666667
-1,1,1,997.047934
0.4415,1,0,999.622382
-0.7552,2,0,1003.6758
-0.7552,1,1,1008.04136633333
-0.4415,1,1,1010.64113433333
0,1,0,1013.153266
0.7552,2,1,1017.02916466667
0.4415,2,1,1019.88176633333
0.4415,2,1,1022.41753433333
0.7552,2,1,1025.11829933333
-0.4415,2,0,1027.77526633333
-0.7552,1,1,1032.052834
0.4415,1,0,1035.05642566667
0.4415,1,0,1038.887501
1,2,1,1042.892961
-0.7552,1,1,1046.27419966667
-0.7552,2,0,1048.910949
-0.7552,1,1,1057.648765
-0.4415,1,1,1060.29123366667
-1,1,1,1063.277489
-0.7552,1,1,1065.79410866667
0.4415,1,0,1068.25774133333
1,2,1,1072.48080366667
-0.7552,2,0,1077.93334666667
-0.7552,2,0,1082.93695833333
-0.7552,1,1,1087.35496633333
1,2,1,1089.901932
0.7552,2,1,1093.72533466667
-0.4415,1,1,1096.72093233333
0,2,0,1099.65719966667
-0.7552,1,1,1104.56159933333
0,2,0,1107.397701
0,1,1,1111.43146466667
0,2,0,1114.08860233333
-0.4415,1,1,1131.600666
-0.7552,1,1,1134.468295
-1,1,1,1137.23239933333
-1,1,1,1139.83818633333
-0.4415,1,1,1142.16046566667
-0.4415,1,1,1144.503566
0,1,1,1147.68399733333
-1,1,1,1150.158267
1,1,0,1152.45603266667
0.4415,1,0,1156.90680033333
0.4415,2,1,1161.36736466667
0.7552,1,0,1163.96198133333
-0.7552,2,0,1168.53155266667
-0.7552,1,1,1173.14511866667
0.7552,2,1,1175.70589966667
1,1,0,1178.18583233333
0.7552,2,1,1183.627566
-1,1,1,1185.85366466667
-0.4415,2,0,1188.58076266667
0.4415,1,0,1192.90566633333
1,2,1,1197.07376666667
-0.7552,2,0,1199.42520066667
-0.7552,1,1,1203.46226766667
0,2,0,1206.28453433333
0.4415,2,1,1210.38333133333
0.4415,1,0,1213.05543333333
0.4415,1,0,1217.357299
1,1,0,1222.05591866667
0.4415,2,1,1226.24829966667
