center,flanker,choice,RT
right,right,right,0.391
right,left,right,1.21
left,right,left,0.601
right,right,right,0.516
right,left,right,0.946
left,right,left,0.656
left,left,left,0.516
right,right,right,0.922
left,left,left,0.438
left,right,right,0.532
right,left,left,0.42
left,right,right,0.836
right,right,right,0.842
left,right,left,0.771
right,right,right,0.683
left,right,right,0.36
right,left,right,0.602
left,left,left,0.403
right,right,right,0.778
left,left,left,0.682
right,right,right,0.567
left,right,left,0.553
left,left,left,0.958
left,right,right,0.407
right,left,right,0.807
right,left,right,0.511
right,right,right,0.781
right,right,right,0.711
left,left,left,0.326
right,right,right,1.133
right,left,right,0.616
left,right,left,1.98
