x1,x2,xavg,estim,subj
0,20,10,9.56360000000001,1
-10,-10,-10,3.35317,1
10,10,10,8.69947,1
-20,0,-10,-5.958,1
0,20,10,6.06833,1
0,0,0,-3.668048,1
10,-20,-5,-3.02587,1
10,-10,0,-2.53292,1
-20,0,-10,0.155169999999998,1
-20,-10,-15,5.81498,1
0,10,5,5.50890000000001,1
0,-10,-5,1.96782,1
-20,-20,-20,-9.23769999999999,1
-10,20,5,8.34791,1
0,0,0,4.09318,1
20,0,10,23.51391,1
10,-20,-5,-10.5624,1
0,10,5,8.97662,1
-20,0,-10,9.53161,1
10,0,5,-15.9436,1
10,-20,-5,-15,1
0,-20,-10,9.08159999999999,1
-20,-10,-15,-7.57130000000001,1
-10,-20,-15,-9.72369999999999,1
10,10,10,8.6264,1
-20,-10,-15,8.54676,1
-20,-20,-20,-5.429559,1
0,0,0,-9.30396,1
0,10,5,11.84573,1
0,-20,-10,-10.83895,1
20,0,10,6.62076,1
0,-10,-5,-8.52019999999999,1
10,20,15,5.301,1
-20,-20,-20,-9.4616,1
0,-10,-5,-6.96379999999999,1
10,-10,0,-4.37072,1
0,10,5,4.46424,1
0,-20,-10,-10.5784,1
-10,10,0,5.69071,1
0,-20,-10,9.57131,1
0,0,0,7.41659,1
20,0,10,-4.60219,1
-20,-20,-20,-7.12501,1
-20,0,-10,-6.8389,1
-20,10,-5,3.5419,1
10,-10,0,-6.14546,1
-20,10,-5,4.89030000000002,1
-10,0,-5,4.44103,1
-10,-10,-10,-1.377006,1
10,-20,-5,-9.56505,1
-10,0,-5,-10,1
-10,10,0,10.46117,1
10,-10,0,-6.50462,1
20,10,15,6.38409999999999,1
20,-10,5,-5.91743,1
0,0,0,-10.8937,1
-10,-10,-10,-8.20610000000001,1
20,0,10,-7.70999999999999,1
10,0,5,-6.9228,1
-20,10,-5,-14.7651,1
-10,-10,-10,-12.68689,1
0,-20,-10,-7.38637,1
-10,0,-5,-13.09918,1
20,-10,5,-7.47119,1
10,-20,-5,-10.25209,1
10,-10,0,-7.58461,1
20,20,20,5.80510000000001,1
-20,0,-10,-12.19923,1
-20,0,-10,-12.86362,1
0,20,10,10.1354,1
10,0,5,-8.7683,1
10,20,15,9.5891,1
-10,-10,-10,-10.2417,1
-10,10,0,-6.1387,1
20,10,15,6.25890000000001,1
-20,-10,-15,-9.80398,1
-20,10,-5,-5.88066000000001,1
-20,10,-5,-11.6823,1
0,10,5,-9.6292,1
20,20,20,-5.72886,1
10,10,10,6.98146,1
0,20,10,5.61009999999999,1
20,20,20,14.3112,1
20,20,20,10.66,1
20,-10,5,4.203,1
-10,0,-5,-7.75575000000001,1
0,10,5,-10.9653,1
10,-10,0,4.58940000000001,1
-10,0,-5,-6.84880000000001,1
-10,20,5,-6.72750000000001,1
20,10,15,8.70859999999999,1
-10,20,5,10.6136,1
10,20,15,6.95189,1
10,-20,-5,5.90379999999999,1
0,-10,-5,-4.21529,1
-20,-20,-20,-8.69924,1
20,20,20,10.14885,1
-10,20,5,10.40523,1
10,0,5,4.1994,1
0,20,10,13.30419,1
-10,20,5,-18.58026,1
0,20,10,6.22489999999999,1
-10,-20,-15,-5.4703,1
0,-10,-5,-11.6215,1
-10,-20,-15,-10.6953,1
20,10,15,-12.61656,1
-20,-10,-15,-9.10900000000001,1
10,10,10,-9.65979999999999,1
-10,-20,-15,-14.998,1
20,10,15,6.6283,1
20,-10,5,-7.70608,1
-10,10,0,-9.5741,1
-10,-10,-10,-5.44012,1
0,0,0,-5.52419,1
10,10,10,6.34616,1
10,20,15,12.7651,1
10,20,15,20.20481,1
-20,-10,-15,-18.69907,1
10,10,10,5.96899999999999,1
0,20,10,6.84292,1
-10,10,0,-4.0558,1
-10,-20,-15,-15.83211,1
10,0,5,-19.1864,1
-20,-20,-20,-4.704243,1
20,0,10,7.3364,1
-20,0,-10,-4.54189,1
20,-10,5,2.75290000000001,1
0,-10,-5,-10.3004,1
10,10,10,5.3843,1
0,10,5,-3.61727,1
10,20,15,11.56505,1
10,0,5,3.99824,1
