x1,binchoice,x2,xavg,estim,subj
44.875,-1,60.875,52.875,48,3
54.375,1,52.5,53.4375,50,3
51.125,-1,45.625,48.375,27,3
44.25,-1,45.875,45.0625,27,3
50.5,-1,62.25,56.375,53,3
51.75,-1,60.5,56.125,53,3
55.25,1,55.375,55.3125,50,3
48.75,-1,44.375,46.5625,44,4
48.375,-1,47.875,48.125,62,4
45.375,-1,41.625,43.5,51,4
47.5,-1,38.625,43.0625,41,4
47.75,-1,57.5,52.625,62,4
46.625,-1,38.375,42.5,35,4
47.25,1,41.375,44.3125,57,4
52.25,1,39.25,45.75,57,4
54.75,1,47.25,51,57,4
53.25,-1,58.75,56,59,4
44.25,-1,48.25,46.25,43,4
53.375,1,42,47.6875,55,4
54.625,1,58,56.3125,58,4
51.125,1,54.625,52.875,54,4
47.25,-1,54,50.625,61,4
51.25,-1,58.875,55.0625,63,4
45.5,-1,59.25,52.375,58,4
51.75,1,45.5,48.625,48,4
53.75,1,53.125,53.4375,56,4
46.375,-1,46.875,46.625,52,4
55.25,1,55.625,55.4375,38,4
47.5,1,51.375,49.4375,36,4
51.125,-1,57.625,54.375,61,4
53.625,1,46.625,50.125,53,4
55.375,1,47.125,51.25,49,4
47.25,-1,44.75,46,41,4
52.875,1,62.5,57.6875,60,4
45.5,-1,40.5,43,44,4
44.375,-1,37.625,41,36,4
54.125,1,53.5,53.8125,50,4
46.875,-1,61.5,54.1875,55,4
48.625,-1,38.125,43.375,48,4
48,1,52.25,50.125,54,4
54.375,1,54.375,54.375,57,4
47.625,-1,59.375,53.5,58,4
51.75,1,55,53.375,53,4
44.625,1,46.125,45.375,44,4
46,-1,60.625,53.3125,53,4
54.25,1,53.75,54,56,4
54.625,1,50.875,52.75,48,4
50.75,1,48.25,49.5,49,4
47.25,-1,59.125,53.1875,51,4
45.25,-1,46.875,46.0625,44,4
45.5,1,57.125,51.3125,57,4
51.25,1,58.125,54.6875,60,4
45.75,-1,50.375,48.0625,44,4
54,1,39.5,46.75,42,4
54.125,1,51.25,52.6875,52,4
46.125,1,59.75,52.9375,55,4
52.125,1,55.25,53.6875,48,4
48.125,-1,57.125,52.625,44,4
55,1,41.25,48.125,58,4
48.375,-1,45,46.6875,41,4
44.375,-1,50.125,47.25,48,4
48.25,-1,44.625,46.4375,42,4
47.25,-1,59.875,53.5625,55,4
47.25,1,46.375,46.8125,47,4
46.625,-1,45.25,45.9375,39,4
47.875,1,47.625,47.75,53,4
46.625,-1,44.125,45.375,43,4
53.875,1,50.625,52.25,55,4
54,1,60.75,57.375,55,4
45.5,1,58.25,51.875,48,4
53.875,1,59.625,56.75,51,4
51.75,-1,48.25,50,46,4
48.25,-1,60.5,54.375,57,4
50.375,1,48,49.1875,55,4
44.875,-1,54,49.4375,46,4
52.125,1,54,53.0625,53,4
54.375,1,52,53.1875,54,4
48.125,-1,57.25,52.6875,52,4
55,-1,61.125,58.0625,45,4
47.375,-1,61.875,54.625,56,4
46.625,-1,61.625,54.125,54,4
46.125,1,46.25,46.1875,46,4
45.875,-1,46,45.9375,44,4
44.875,-1,60.875,52.875,56,4
54.375,1,52.5,53.4375,46,4
46.125,-1,58.625,52.375,52,4
51.125,-1,45.625,48.375,46,4
44.25,1,45.875,45.0625,50,4
50.5,1,62.25,56.375,53,4
51.75,1,60.5,56.125,55,4
55.25,1,55.375,55.3125,59,4
48.75,-1,44.375,46.5625,45,5
48.375,1,47.875,48.125,47,5
45.375,1,41.625,43.5,51,5
47.5,-1,38.625,43.0625,38,5
47.75,-1,57.5,52.625,58,5
46.625,-1,38.375,42.5,40,5
47.25,-1,41.375,44.3125,38,5
52.25,1,39.25,45.75,53,5
54.75,1,47.25,51,54,5
53.25,-1,58.75,56,56,5
44.25,-1,48.25,46.25,39,5
53.375,-1,42,47.6875,40,5
54.625,1,58,56.3125,54,5
51.125,1,54.625,52.875,60,5
47.25,-1,54,50.625,49,5
51.25,1,58.875,55.0625,47,5
45.5,-1,59.25,52.375,49,5
51.75,-1,45.5,48.625,38,5
53.75,1,53.125,53.4375,49,5
46.375,-1,46.875,46.625,48,5
55.25,1,55.625,55.4375,57,5
47.5,-1,51.375,49.4375,52,5
51.125,-1,57.625,54.375,57,5
53.625,1,46.625,50.125,55,5
55.375,1,47.125,51.25,48,5
47.25,-1,44.75,46,44,5
52.875,1,62.5,57.6875,53,5
45.5,-1,40.5,43,36,5
44.375,1,37.625,41,53,5
54.125,1,53.5,53.8125,45,5
46.875,-1,61.5,54.1875,50,5
48.625,1,38.125,43.375,45,5
48,-1,52.25,50.125,52,5
54.375,1,54.375,54.375,42,5
47.625,1,59.375,53.5,58,5
51.75,-1,55,53.375,44,5
44.625,-1,46.125,45.375,43,5
46,-1,60.625,53.3125,44,5
54.25,1,53.75,54,49,5
54.625,1,50.875,52.75,48,5
50.75,-1,48.25,49.5,47,5
47.25,-1,59.125,53.1875,36,5
45.25,-1,46.875,46.0625,40,5
45.5,-1,57.125,51.3125,58,5
51.25,1,58.125,54.6875,59,5
45.75,-1,50.375,48.0625,44,5
54,1,39.5,46.75,51,5
54.125,1,51.25,52.6875,56,5
46.125,1,59.75,52.9375,54,5
52.125,1,55.25,53.6875,53,5
48.125,1,57.125,52.625,57,5
55,1,41.25,48.125,55,5
48.375,1,45,46.6875,46,5
44.375,-1,50.125,47.25,49,5
48.25,1,44.625,46.4375,48,5
47.25,-1,59.875,53.5625,59,5
47.25,1,46.375,46.8125,58,5
46.625,-1,45.25,45.9375,48,5
47.875,-1,47.625,47.75,48,5
46.625,1,44.125,45.375,43,5
